framenum,queue density,dynamic density
3,0.0644309,0.0265188
6,0.0746887,0.0787729
9,0.0875166,0.0434763
12,0.0919868,0.050687
15,0.0958818,0.0571975
18,0.0991181,0.0648397
21,0.101995,0.0436883
24,0.104058,0.0269617
27,0.109255,0.0398085
30,0.112888,0.0608653
33,0.11491,0.0831296
36,0.116628,0.100307
39,0.118203,0.104406
42,0.119562,0.0963814
45,0.121382,0.0872895
48,0.121189,0.0801317
51,0.121681,0.0663197
54,0.123468,0.0366403
57,0.125667,0.0265566
60,0.125909,0.0274197
63,0.125414,0.0223135
66,0.125766,0.0229456
69,0.127802,0.0223854
72,0.128956,0.0119952
75,0.131254,0.010799
78,0.13203,0.0177524
81,0.138094,0.0237632
84,0.142174,0.0333472
87,0.154359,0.0501533
90,0.167739,0.0484159
93,0.173992,0.0497937
96,0.17093,0.0611946
99,0.174912,0.0531284
102,0.176161,0.0357962
105,0.176801,0.0362504
108,0.179795,0.0518869
111,0.188698,0.0606874
114,0.197627,0.069908
117,0.205382,0.0968962
120,0.207873,0.105708
123,0.209879,0.107468
126,0.21053,0.087297
129,0.212775,0.0809607
132,0.216552,0.0974526
135,0.218566,0.0972595
138,0.220258,0.088724
141,0.221515,0.0794315
144,0.221466,0.0750748
147,0.220375,0.0743064
150,0.221027,0.0821379
153,0.220444,0.0647072
156,0.218055,0.0577539
159,0.21463,0.0554109
162,0.212264,0.0434044
165,0.209482,0.048185
168,0.207896,0.0366441
171,0.204985,0.0223021
174,0.202487,0.0055831
177,0.20064,0.0111094
180,0.199182,0.00190393
183,0.198637,0.000783527
186,0.197067,0.00475794
189,0.196457,1.89258e-05
192,0.195424,0
195,0.194197,0.000533707
198,0.19453,6.43476e-05
201,0.195076,0.00536735
204,0.195465,0.000140051
207,0.195045,0.000420152
210,0.19545,0.00123775
213,0.195522,0
216,0.195246,0.00700254
219,0.195348,0
222,0.195113,0
225,0.195359,4.54219e-05
228,0.195711,0
231,0.19581,0.000768386
234,0.196855,0
237,0.196143,0.00036716
240,0.192827,0.00137023
243,0.193516,0.00335743
246,0.194205,0.00172603
249,0.194042,0.00245278
252,0.19352,0.000147621
255,0.193649,0.00121882
258,0.194141,0.00733184
261,0.194443,0.00345206
264,0.19419,0
267,0.194383,0.000760816
270,0.193588,3.78515e-06
273,0.193349,6.81328e-05
276,0.19358,0.00560203
279,0.193985,0.00484121
282,0.195886,0.00808509
285,0.199368,0.0132745
288,0.199932,0.0151103
291,0.196219,0.0155797
294,0.193365,0.00675272
297,0.191082,0.00580643
300,0.190439,0.00269503
303,0.190257,0
306,0.19087,0
309,0.192782,0
312,0.194402,0
315,0.196056,0
318,0.196029,0
321,0.194587,0
324,0.194568,0
327,0.194731,0
330,0.194879,0
333,0.194879,0
336,0.194992,0
339,0.195102,0.000405012
342,0.197297,0.000378515
345,0.197237,0.00871721
348,0.199198,0.0171468
351,0.197967,0.0229267
354,0.196294,0.0269427
357,0.196556,0.0268973
360,0.19665,0.0237859
363,0.196612,0.0229532
366,0.196699,0.0218631
369,0.196794,0.0229645
372,0.197683,0.0220675
375,0.19771,0.0236951
378,0.197434,0.0202089
381,0.196586,0.0191264
384,0.198232,0.0158674
387,0.202824,0.0190469
390,0.205121,0.0249442
393,0.205757,0.0131648
396,0.20779,0.0147735
399,0.209338,0.0151709
402,0.210273,0.0131269
405,0.210947,0.0379272
408,0.213346,0.0442409
411,0.220762,0.0608994
414,0.229331,0.0761611
417,0.235225,0.0972671
420,0.239702,0.111174
423,0.248196,0.13382
426,0.25814,0.152977
429,0.266426,0.158863
432,0.273761,0.150006
435,0.281941,0.152674
438,0.286222,0.195783
441,0.289984,0.20916
444,0.295125,0.213528
447,0.296885,0.216859
450,0.305602,0.215633
453,0.312237,0.219183
456,0.315716,0.21516
459,0.318191,0.205163
462,0.320307,0.172349
465,0.323669,0.106552
468,0.323782,0.0412165
471,0.322832,0.00908816
474,0.323434,0.000454219
477,0.326825,0
480,0.329081,0
483,0.3303,0
486,0.330838,0
489,0.331667,0
492,0.332685,0
495,0.330073,0
498,0.331186,0
501,0.337439,0.00312275
504,0.348295,0.0184526
507,0.358341,0.0362391
510,0.369329,0.0268746
513,0.374265,0.0501192
516,0.376634,0.0620046
519,0.380026,0.0630418
522,0.385779,0.0645407
525,0.39006,0.0687573
528,0.392827,0.0700821
531,0.394008,0.0709603
534,0.397085,0.073432
537,0.399671,0.0720353
540,0.400939,0.0702373
543,0.403441,0.073678
546,0.403812,0.0778568
549,0.405545,0.0713804
552,0.405473,0.0583065
555,0.403762,0.0566675
558,0.402986,0.0511261
561,0.400057,0.00303569
564,0.398164,0.003876
567,0.397089,0
570,0.391218,0.0030584
573,0.396412,0.00469738
576,0.403698,0.0115561
579,0.409338,0.0185927
582,0.41667,0.0199061
585,0.421602,0.0205155
588,0.42583,0.031606
591,0.430289,0.0368409
594,0.432102,0.0416859
597,0.433343,0.0441614
600,0.437674,0.0489913
603,0.441292,0.058738
606,0.445763,0.0591165
609,0.450808,0.0623945
612,0.457144,0.0747644
615,0.462709,0.0595064
618,0.467296,0.0494341
621,0.47453,0.0371059
624,0.480189,0.0350581
627,0.48565,0.0357054
630,0.490367,0.0370529
633,0.493346,0.0339301
636,0.495227,0.0344373
639,0.496658,0.0289678
642,0.496249,0.0221318
645,0.49531,0.0109391
648,0.499084,0.00438321
651,0.503388,0.0055074
654,0.507536,0.00655589
657,0.511446,0.00575722
660,0.515129,0.00959158
663,0.519891,0.0036451
666,0.523457,8.32734e-05
669,0.526462,1.51406e-05
672,0.525826,3.78515e-06
675,0.526909,0
678,0.529642,0
681,0.531723,0
684,0.533434,0
687,0.534172,7.57031e-06
690,0.53566,7.57031e-06
693,0.536932,0
696,0.53393,0
699,0.536534,0
702,0.536591,0
705,0.537772,0.000378515
708,0.538363,0
711,0.53926,0
714,0.540668,0.000957644
717,0.540952,0
720,0.533328,7.57031e-06
723,0.534907,0
726,0.534725,0
729,0.534267,0
732,0.533934,0
735,0.532109,0
738,0.530232,0
741,0.52943,0.00111284
744,0.529078,0
747,0.524463,0
750,0.524679,0
753,0.524566,0
756,0.524342,0
759,0.524611,0
762,0.52421,0
765,0.523214,0
768,0.521344,0
771,0.512896,0
774,0.514168,0
777,0.515125,0
780,0.51656,0
783,0.516541,0.000969
786,0.516337,3.78515e-06
789,0.518687,0.000700254
792,0.521761,0.00610545
795,0.525425,0.0122071
798,0.53066,0.0171051
801,0.535569,0.0202354
804,0.539078,0.0225179
807,0.540702,0.0250047
810,0.542598,0.00012491
813,0.546247,1.51406e-05
816,0.550498,0
819,0.552996,0
822,0.558886,0.000340664
825,0.560949,0
828,0.563087,5.29922e-05
831,0.564298,0.0013778
834,0.563326,0
837,0.562228,0.000177902
840,0.56188,0.000878156
843,0.562289,0
846,0.56102,0
849,0.561728,3.78515e-06
852,0.562133,0.00110148
855,0.563046,3.40664e-05
858,0.563227,0
861,0.563413,0.000363375
864,0.563689,0
867,0.56417,0.000147621
870,0.561732,0.00119611
873,0.563628,0
876,0.564079,0
879,0.565048,0
882,0.5637,0.000575344
885,0.563363,0
888,0.563292,1.13555e-05
891,0.563579,0.00123018
894,0.564567,0.0008668
897,0.566183,0
900,0.566831,3.02812e-05
903,0.566305,0
906,0.561959,0
909,0.563874,2.27109e-05
912,0.564245,6.81328e-05
915,0.562035,0.000620765
918,0.55853,6.05625e-05
921,0.556312,0.0026004
924,0.555551,0
927,0.554987,0
930,0.551266,0
933,0.552334,0
936,0.554048,0
939,0.557084,0
942,0.560638,0.000268746
945,0.561039,0.000280101
948,0.561335,0
951,0.560801,0
954,0.560381,0
957,0.55842,3.02812e-05
960,0.558874,0
963,0.559858,0
966,0.560725,0
969,0.561259,0
972,0.563208,3.78515e-05
975,0.564385,9.08437e-05
978,0.565809,9.46289e-05
981,0.563784,0.000147621
984,0.564639,0.00186987
987,0.564314,4.16367e-05
990,0.564011,0.000545062
993,0.564314,6.43476e-05
996,0.565067,0.000635906
999,0.562429,0.000529922
1002,0.560176,7.57031e-06
1005,0.55694,0.000264961
1008,0.557277,0
1011,0.559071,0.00467845
1014,0.559631,0.0033915
1017,0.557262,0.000658617
1020,0.556978,0.00568152
1023,0.557209,0.000208184
1026,0.556781,2.27109e-05
1029,0.55683,0
1032,0.55666,0
1035,0.557156,0.00165411
1038,0.555876,0
1041,0.556509,0
1044,0.55842,3.40664e-05
1047,0.560093,0
1050,0.559075,7.57031e-06
1053,0.558984,0
1056,0.558575,0
1059,0.558219,0.0026004
1062,0.553439,0.000140051
1065,0.553386,0.00299027
1068,0.552981,0
1071,0.553261,3.78515e-06
1074,0.554317,0.00437942
1077,0.555445,0
1080,0.555119,0
1083,0.55568,0
1086,0.553337,0.000200613
1089,0.554995,7.57031e-06
1092,0.555839,0.00507968
1095,0.557383,0.00140429
1098,0.558693,0.00475415
1101,0.558064,0.00790719
1104,0.558746,0.000775957
1107,0.55845,0.000927363
1110,0.558537,0
1113,0.555926,0
1116,0.556342,0
1119,0.555464,3.78515e-06
1122,0.556039,0
1125,0.555922,0
1128,0.55881,0.00459518
1131,0.559703,0.0110981
1134,0.559575,0.0152845
1137,0.55803,0.01642
1140,0.558004,0.0174004
1143,0.557375,0.0159279
1146,0.558121,0.0168931
1149,0.558848,0.00902381
1152,0.559518,0.00500019
1155,0.557845,0.00744161
1158,0.558704,0.00194935
1161,0.556467,0.00250577
1164,0.559249,0.0012226
1167,0.55867,4.54219e-05
1170,0.556509,0.000397441
1173,0.556675,0
1176,0.55546,0
1179,0.554177,0.000276316
1182,0.553064,0
1185,0.554071,0.000863015
1188,0.552175,0.000389871
1191,0.551474,3.78515e-06
1194,0.552182,3.78515e-06
1197,0.552648,5.29922e-05
1200,0.552485,0
1203,0.55194,0
1206,0.552114,0
1209,0.552663,0
1212,0.549676,0
1215,0.550369,0
1218,0.550664,0
1221,0.551542,0
1224,0.551811,0
1227,0.551807,0
1230,0.553484,0
1233,0.553409,8.32734e-05
1236,0.551796,0.00921685
1239,0.552973,0.00148
1242,0.554756,0.000340664
1245,0.555127,0.00143836
1248,0.554044,0.000991711
1251,0.554222,0.000238465
1254,0.552704,0.000889511
1257,0.552882,0.000310383
1260,0.552614,0.00310761
1263,0.551009,0
1266,0.551296,0.00849767
1269,0.551516,0.000177902
1272,0.552746,0.00774821
1275,0.552731,0
1278,0.553268,0.00296756
1281,0.553742,0.00730913
1284,0.553083,0.00193043
