framenum,queue density,dynamic density
3,0.063138,0.025459
6,0.063138,0.025459
9,0.0887675,0.146686
12,0.0887675,0.146686
15,0.0968511,0.0805097
18,0.0968511,0.0805097
21,0.102957,0.0556492
24,0.102957,0.0556492
27,0.110079,0.0682594
30,0.110079,0.0682594
33,0.115503,0.0818923
36,0.115503,0.0818923
39,0.118685,0.0517968
42,0.118685,0.0517968
45,0.121511,0.067998
48,0.121511,0.067998
51,0.121852,0.102196
54,0.121852,0.102196
57,0.124689,0.0841878
60,0.124689,0.0841878
63,0.125333,0.0643237
66,0.125333,0.0643237
69,0.128878,0.0102957
72,0.128878,0.0102957
75,0.132132,0.0156784
78,0.132132,0.0156784
81,0.137739,0.0240423
84,0.137739,0.0240423
87,0.154815,0.0574371
90,0.154815,0.0574371
93,0.174936,0.106783
96,0.174936,0.106783
99,0.175505,0.108836
102,0.175505,0.108836
105,0.177149,0.0784528
108,0.177149,0.0784528
111,0.189425,0.108367
114,0.189425,0.108367
117,0.207085,0.102726
120,0.207085,0.102726
123,0.211578,0.10315
126,0.211578,0.10315
129,0.215013,0.115647
132,0.215013,0.115647
135,0.220218,0.132272
138,0.220218,0.132272
141,0.223013,0.11087
144,0.223013,0.11087
147,0.22129,0.0764566
150,0.22129,0.0764566
153,0.221207,0.0993511
156,0.221207,0.0993511
159,0.215085,0.0882523
162,0.215085,0.0882523
165,0.21032,0.0951768
168,0.21032,0.0951768
171,0.205706,0.0767899
174,0.205706,0.0767899
177,0.201009,0.0642706
180,0.201009,0.0642706
183,0.198971,0.0545166
186,0.198971,0.0545166
189,0.196967,0.0143451
192,0.196967,0.0143451
195,0.194532,0.00992072
198,0.194532,0.00992072
201,0.195517,0.00240537
204,0.195517,0.00240537
207,0.195403,0.00623501
210,0.195403,0.00623501
213,0.196009,0.00664033
216,0.196009,0.00664033
219,0.195721,0.000746232
222,0.195721,0.000746232
225,0.196115,0.00142807
228,0.196115,0.00142807
231,0.196725,0.00208718
234,0.196725,0.00208718
237,0.196615,0.000734868
240,0.196615,0.000734868
243,0.193922,0.00280689
246,0.193922,0.00280689
249,0.19452,0.0114548
252,0.19452,0.0114548
255,0.193869,0.0012917
258,0.193869,0.0012917
261,0.194831,0.00161747
264,0.194831,0.00161747
267,0.194611,0.000882599
270,0.194611,0.000882599
273,0.193592,0
276,0.193592,0
279,0.193842,0.0120988
282,0.193842,0.0120988
285,0.198668,0.00896236
288,0.198668,0.00896236
291,0.194494,0.0141254
294,0.194494,0.0141254
297,0.190524,0.00930328
300,0.190524,0.00930328
303,0.190657,0.00159095
306,0.190657,0.00159095
309,0.193119,0
312,0.193119,0
315,0.196585,0.000795476
318,0.196585,0.000795476
321,0.195244,0
324,0.195244,0
327,0.195278,0.000125003
330,0.195278,0.000125003
333,0.195373,0
336,0.195373,0
339,0.195804,0
342,0.195804,0
345,0.197789,0.00877675
348,0.197789,0.00877675
351,0.198755,0.0210043
354,0.198755,0.0210043
357,0.197354,0.0200043
360,0.197354,0.0200043
363,0.197592,0.0146671
366,0.197592,0.0146671
369,0.197823,0.0219286
372,0.197823,0.0219286
375,0.198376,0.0206483
378,0.198376,0.0206483
381,0.19738,0.0170914
384,0.19738,0.0170914
387,0.203199,0.00692821
390,0.203199,0.00692821
393,0.206918,0.0194399
396,0.206918,0.0194399
399,0.210672,0.0439254
402,0.210672,0.0439254
405,0.212415,0.0131178
408,0.212415,0.0131178
411,0.221786,0.0216445
414,0.221786,0.0216445
417,0.23515,0.0402511
420,0.23515,0.0402511
423,0.24695,0.0768505
426,0.24695,0.0768505
429,0.262783,0.0444709
432,0.262783,0.0444709
435,0.276541,0.079862
438,0.276541,0.079862
441,0.28367,0.115162
444,0.28367,0.115162
447,0.291553,0.178387
450,0.291553,0.178387
453,0.306955,0.182009
456,0.306955,0.182009
459,0.313315,0.239003
462,0.313315,0.239003
465,0.318872,0.227767
468,0.318872,0.227767
471,0.318705,0.212187
474,0.318705,0.212187
477,0.322599,0.148243
480,0.322599,0.148243
483,0.325778,0.114886
486,0.325778,0.114886
489,0.327664,0.0102957
492,0.327664,0.0102957
495,0.325827,0.000503801
498,0.325827,0.000503801
501,0.333395,0.004413
