framenum,queue density,dynamic density
3,0.0635,0.0372333
6,0.0748,0.00473333
9,0.0879333,0.0109333
12,0.0929667,0
15,0.0959,0
18,0.0994667,0
21,0.101933,0.0117667
24,0.103433,0
27,0.108867,0.00543333
30,0.113067,0.0161333
33,0.114567,0
36,0.1157,0.008
39,0.1169,0.0180333
42,0.118233,0.0434667
45,0.120467,0.0348667
48,0.119967,0.0325333
51,0.120867,0.000933333
54,0.122267,0.00963333
57,0.123133,0
60,0.1239,0
63,0.124367,0
66,0.1262,0
69,0.128267,0.0256
72,0.128767,0
75,0.131567,0
78,0.131333,0
81,0.1365,0
84,0.1398,0.00943333
87,0.152633,0.0186667
90,0.166733,0.0178
93,0.174233,0.0196
96,0.1707,0.0194333
99,0.175667,0.0327667
102,0.176133,0.0121667
105,0.176233,0.0100667
108,0.179467,0.0066
111,0.1878,0
114,0.1985,0.0002
117,0.205833,0
120,0.2083,0
123,0.211233,0.0145333
126,0.2119,0.0211
129,0.213767,0.0251
132,0.217933,0.0189333
135,0.219467,0
138,0.221567,0
141,0.2207,0
144,0.222033,0
147,0.220433,0
150,0.219767,0
153,0.221367,0
156,0.217367,0
159,0.213533,0
162,0.211767,0
165,0.2093,0
168,0.206867,0
171,0.204667,0
174,0.201433,0
177,0.1999,0
180,0.198667,0
183,0.197667,0
186,0.196167,0
189,0.196033,0
192,0.1949,0
195,0.193767,0
198,0.194733,0
201,0.1952,0
204,0.195333,0
207,0.194233,0
210,0.1944,0
213,0.195367,0
216,0.194767,0
219,0.1948,0
222,0.1949,0
225,0.1952,0
228,0.1958,0
231,0.195567,0
234,0.196567,0
237,0.195567,0
240,0.1923,0
243,0.193,0
246,0.193733,0
249,0.194133,0
252,0.1926,0
255,0.1932,0
258,0.193267,0
261,0.193067,0
264,0.1932,0
267,0.193833,0
270,0.193667,0
273,0.193033,0
276,0.194367,0
279,0.1933,0
282,0.195567,0
285,0.198067,0
288,0.197367,0
291,0.193933,0
294,0.1916,0
297,0.190167,0
300,0.189833,0
303,0.1902,0
306,0.191067,0
309,0.193,0
312,0.194467,0
315,0.196033,0
318,0.1955,0
321,0.1939,0
324,0.1945,0
327,0.1944,0
330,0.194,0
333,0.193467,0
336,0.194067,0
339,0.194233,0
342,0.196433,0
345,0.196267,0.00886667
348,0.1987,0.0205667
351,0.197133,0
354,0.196233,0.00803333
357,0.195667,0.0328
360,0.196333,0.0200667
363,0.196433,0.0116
366,0.1963,3.33333e-05
369,0.195867,0
372,0.196333,0
375,0.1966,0
378,0.1964,0
381,0.195667,0
384,0.196933,0
387,0.202067,0
390,0.204667,0
393,0.205633,0
396,0.208233,0
399,0.209533,0
402,0.2105,0
405,0.210933,0
408,0.2136,0
411,0.221,0
414,0.228567,0.0223333
417,0.234133,0.0301333
420,0.237833,0.0267333
423,0.245367,0.0704333
426,0.255033,0.0473667
429,0.262633,0.0646
432,0.267367,0.0603
435,0.275133,0.0429
438,0.280833,0.0327667
441,0.282667,3.33333e-05
444,0.2869,0.0084
447,0.290667,0
450,0.298733,0
453,0.306367,0
456,0.309167,0
459,0.3123,0
462,0.3158,0
465,0.319533,0
468,0.318967,0
471,0.318833,0
474,0.319367,0
477,0.321433,0
480,0.323267,0
483,0.324467,0
486,0.326233,0
489,0.326433,0
492,0.326567,0
495,0.3239,0
498,0.325867,0
501,0.331967,0
504,0.344033,0
507,0.3528,0
510,0.364633,0
513,0.370167,0.00106667
516,0.371833,0.0001
519,0.3751,0.00106667
522,0.3816,0.0294333
525,0.385767,0.0199
528,0.388933,0.0013
531,0.3897,0
534,0.3928,0
537,0.3952,0
540,0.3942,0
543,0.398033,0
546,0.398033,0
549,0.399667,0
552,0.399967,0
555,0.396767,0
558,0.395233,0
561,0.3924,0
564,0.391367,0
567,0.389667,0
570,0.385833,0
573,0.390733,0
576,0.399467,0
579,0.405167,0
582,0.412367,0
585,0.416267,0
588,0.4216,0
591,0.426333,0
594,0.427933,0
597,0.428567,0
600,0.434,0
603,0.438133,0
606,0.443367,0
609,0.449067,0
612,0.4556,0
615,0.461467,0
618,0.466933,0
621,0.473233,0
624,0.478733,0
627,0.483867,0
630,0.488467,0
633,0.4913,0
636,0.493733,0
639,0.494433,0
642,0.493567,0
645,0.4934,0
648,0.4974,0
651,0.502267,0
654,0.506567,0
657,0.5103,0
660,0.5129,0
663,0.519233,0
666,0.5227,0
669,0.5258,0
672,0.525567,0
675,0.527467,0
678,0.5297,0
681,0.531233,0
684,0.5329,0
687,0.532967,0
690,0.534367,0
693,0.535833,0
696,0.533833,0
699,0.5357,0
702,0.536733,0
705,0.537633,0
708,0.538067,0
711,0.538933,0
714,0.5405,0
717,0.541233,0
720,0.533467,0
723,0.533333,0
726,0.533133,0
729,0.5333,0
732,0.533167,0
735,0.531267,0
738,0.5294,0.004
741,0.528133,0
744,0.528367,0
747,0.523933,0
750,0.5248,0
753,0.525,0
756,0.524267,0
759,0.524667,0
762,0.524633,0
765,0.5231,0
768,0.521367,0
771,0.513433,0
774,0.513933,0.000233333
777,0.513967,0
780,0.515133,0
783,0.516067,0
786,0.516067,0
789,0.5182,0
792,0.5212,0
795,0.5281,0
798,0.532667,0
801,0.537233,0
804,0.540167,0
807,0.541633,0
810,0.543833,0
813,0.547367,0
816,0.551767,0
819,0.553433,0
822,0.560967,0
825,0.562367,0
828,0.564233,0
831,0.565733,0
834,0.564567,0
837,0.5627,0
840,0.562833,0
843,0.5626,0
846,0.561833,0
849,0.563267,0.0001
852,0.5636,0
855,0.5643,0
858,0.5659,0
861,0.565633,0
864,0.565333,0
867,0.5653,0
870,0.563533,0
873,0.5659,0
876,0.565667,0
879,0.566967,0
882,0.565267,0
885,0.5657,0
888,0.564733,0
891,0.563633,0
894,0.5656,0
897,0.5668,0
900,0.5686,0
903,0.567467,0
906,0.564233,0
909,0.5663,0
912,0.565433,0
915,0.563733,0
918,0.5603,0
921,0.557667,0
924,0.5576,0
927,0.557667,0
930,0.554267,0
933,0.5546,0
936,0.556533,0
939,0.559933,0
942,0.563067,0
945,0.563833,0
948,0.5643,0
951,0.563633,0
954,0.563367,0
957,0.561067,0
960,0.5604,0
963,0.561833,0
966,0.5627,0
969,0.563333,0
972,0.564967,0
975,0.566167,0
978,0.567067,0
981,0.566333,0
984,0.566767,0
987,0.5664,0
990,0.565033,0
993,0.565667,0
996,0.5664,0
999,0.563867,0
1002,0.561467,0
1005,0.557067,0
1008,0.557733,0
1011,0.5608,0
1014,0.559767,0
1017,0.5575,0
1020,0.557667,0
1023,0.557233,0
1026,0.556967,0
1029,0.557167,0
1032,0.556667,0
1035,0.556967,0
1038,0.5563,0
1041,0.557933,0
1044,0.5583,0
1047,0.560933,0
1050,0.560467,0
1053,0.5597,0
1056,0.560133,0
1059,0.559967,0
1062,0.554433,0
1065,0.555133,0
1068,0.554467,0
1071,0.555067,0
1074,0.555633,0
1077,0.5566,0
1080,0.555933,0
1083,0.556467,0
1086,0.555367,0
1089,0.556633,0
1092,0.5576,0
1095,0.5598,0
1098,0.5611,0
1101,0.560733,0
1104,0.560567,0
1107,0.560767,0
1110,0.560333,0
1113,0.557367,0
1116,0.5574,0
1119,0.556667,0
1122,0.557467,0
1125,0.557067,0
1128,0.559967,0
1131,0.560633,0
1134,0.560233,0
1137,0.5602,0
1140,0.5602,0
1143,0.557967,0
1146,0.559667,0
1149,0.559467,0
1152,0.560433,0
1155,0.558433,0
1158,0.559467,0
1161,0.557967,0
1164,0.559833,0
1167,0.558933,0
1170,0.5581,0
1173,0.5574,0
1176,0.5578,0
1179,0.555033,0
1182,0.553867,0
1185,0.554933,0
1188,0.553233,0
1191,0.5524,0
1194,0.553133,0
1197,0.552867,0
1200,0.552367,0
1203,0.552,0
1206,0.5524,0
1209,0.553167,0
1212,0.551133,0
1215,0.551267,0
1218,0.551933,0
1221,0.5526,0
1224,0.552233,0
1227,0.552467,0
1230,0.554233,0
1233,0.5548,0
1236,0.5542,0
1239,0.5556,0
1242,0.556567,0
1245,0.557433,0
1248,0.556433,0
1251,0.5562,0
1254,0.555267,0
1257,0.5549,0
1260,0.5551,0
1263,0.5527,0
1266,0.553267,0
1269,0.554233,0
1272,0.555133,0
1275,0.554833,0
1278,0.555033,0
1281,0.556433,0
1284,0.555133,0
1287,0.553433,0
1290,0.555667,0
1293,0.5561,0
1296,0.5562,0
1299,0.5583,0
1302,0.5576,0
1305,0.556933,0
1308,0.556233,0
1311,0.5528,0
1314,0.551933,0
1317,0.550167,0
1320,0.550767,0
1323,0.550833,0
1326,0.550633,0
1329,0.5495,0
1332,0.550567,0
1335,0.5499,0
1338,0.550067,0
1341,0.551333,0.00596667
1344,0.552267,0
1347,0.5533,0.0056
1350,0.5549,0
1353,0.555933,0
1356,0.5578,0
1359,0.559833,0
1362,0.558733,0
1365,0.559067,0
1368,0.557167,0
1371,0.557533,0
1374,0.556967,0
1377,0.553867,0
1380,0.554233,0
1383,0.552633,0
1386,0.546533,0
1389,0.548767,0
1392,0.5495,0
1395,0.549433,0
1398,0.547667,0
1401,0.549,0
1404,0.5475,0
1407,0.546633,0
1410,0.5468,0
1413,0.5386,0
1416,0.54,0
1419,0.541333,0
1422,0.5437,0
1425,0.545033,0
1428,0.546533,0
1431,0.5503,0
1434,0.553,0
1437,0.553533,0.000166667
1440,0.557433,0
1443,0.561967,0
1446,0.562933,0
1449,0.565533,0
1452,0.566633,0
1455,0.567633,0
1458,0.5658,0
1461,0.562667,0
1464,0.5645,0
1467,0.563367,0
1470,0.561633,0
1473,0.559333,0
1476,0.5607,0
1479,0.551867,0
1482,0.547367,0
1485,0.543567,0
1488,0.533333,0
1491,0.527767,0
1494,0.5172,0
1497,0.513767,0
1500,0.506667,0
1503,0.500933,0
1506,0.496867,0
1509,0.4902,0.000633333
1512,0.4753,0
1515,0.469433,0
1518,0.460833,0
1521,0.454467,0
1524,0.4489,0
1527,0.4471,0
1530,0.447267,0
1533,0.4478,0
1536,0.4374,0
1539,0.441567,0
1542,0.439767,0
1545,0.441967,0
1548,0.4396,3.33333e-05
1551,0.438967,0.0001
1554,0.437633,0.00906667
1557,0.438633,0
1560,0.443033,0.00376667
1563,0.4503,0.00506667
1566,0.452767,0.00506667
1569,0.4553,0.0111333
1572,0.4552,0.00633333
1575,0.459433,0.0279667
1578,0.463,0.0233333
1581,0.470933,0.0368333
1584,0.4736,0.0242333
1587,0.471367,0.0336333
1590,0.4689,0.0384667
1593,0.4677,0.0319
1596,0.473333,0.0233333
1599,0.478667,0.0431333
1602,0.4902,0.0311333
1605,0.499767,0.0790333
1608,0.506467,0.0434667
1611,0.493867,0.0435667
1614,0.4917,0.0694
1617,0.481167,0.0548
1620,0.467067,0.0535333
1623,0.458,0.0406333
1626,0.4544,0.0388
1629,0.451733,0.0514667
1632,0.446767,0.1043
1635,0.451,0.104
1638,0.445033,0.0654
1641,0.437833,0.0417333
1644,0.4302,0.0277667
1647,0.424567,0.0498333
1650,0.423533,0.0543667
1653,0.419633,0.0579667
1656,0.4175,0.120233
1659,0.413033,0.0734667
1662,0.407567,0.131267
1665,0.4087,0.113333
1668,0.408267,0.1063
1671,0.4077,0.0668667
1674,0.407167,0.0868333
1677,0.4062,0.1767
1680,0.410067,0.231333
1683,0.4116,0.181867
1686,0.4093,0.165033
1689,0.4205,0.132067
1692,0.429933,0.100967
1695,0.440533,0.0671
1698,0.451967,0.0671333
1701,0.460867,0.0621
1704,0.4677,0.0800667
1707,0.469167,0.0482667
1710,0.454233,0.0640333
1713,0.447133,0.0229667
1716,0.446833,0.0205333
1719,0.438233,0.0218
1722,0.431833,0.0244
1725,0.4254,0.0731667
1728,0.421967,0.0819
1731,0.409567,0.0894667
1734,0.4014,0.1243
1737,0.401,0.129667
1740,0.398233,0.1802
1743,0.391867,0.1738
1746,0.385033,0.162033
1749,0.3719,0.164667
1752,0.366267,0.161233
1755,0.367267,0.187767
1758,0.359233,0.182867
1761,0.347133,0.1258
1764,0.340167,0.0771333
1767,0.3391,0.0473333
1770,0.342867,0.0379
1773,0.346067,0.0339667
1776,0.3391,0.0126333
1779,0.3283,0.0075
1782,0.3227,0.00186667
1785,0.316067,0.00693333
1788,0.306833,0.0693667
1791,0.301833,0.0790333
1794,0.2847,0.0897333
1797,0.269467,0.0643667
1800,0.268767,0.0580667
1803,0.264133,0.0573333
1806,0.2595,0.0577667
1809,0.2553,0.0431667
1812,0.2336,0.0676
1815,0.2281,0.0454333
1818,0.2204,0.0159
1821,0.219967,0.0219333
1824,0.220367,0.0381
1827,0.224,0.0331
1830,0.2303,0.0379667
1833,0.226333,6.66667e-05
1836,0.2199,0.0135333
1839,0.2192,0.0212667
1842,0.2109,0.0591
1845,0.2032,0.0641667
1848,0.191933,0.0171333
1851,0.169267,0.0227333
1854,0.147633,0.0369667
1857,0.143,0.0220667
1860,0.143933,0.0371333
1863,0.140567,0.00466667
1866,0.133867,0.000166667
1869,0.152167,0.00956667
1872,0.1719,0.0284
1875,0.175867,0.00263333
1878,0.185067,0.00526667
1881,0.203567,0.0043
1884,0.221733,0.0051
1887,0.2427,0.00146667
1890,0.266367,0.00843333
1893,0.285767,0.00113333
1896,0.300933,0.00416667
1899,0.32,0
1902,0.3514,0.000566667
1905,0.371667,0.0025
1908,0.3836,0.0195333
1911,0.369567,0.0016
1914,0.3487,0.0123333
1917,0.326,0.0455333
1920,0.312067,0.0275667
1923,0.301933,0.0258333
1926,0.2873,0.0334667
1929,0.266567,0.0137333
1932,0.246033,0.00336667
1935,0.227033,0.00626667
1938,0.213133,0.00613333
1941,0.202867,0.0109333
1944,0.194833,0.0591
1947,0.183033,0.0974667
1950,0.1691,0.109767
1953,0.147467,0.103133
1956,0.119133,0.0831333
1959,0.0945333,0.0321
1962,0.0694,0
1965,0.0473667,0.000566667
1968,0.0301667,0.000466667
1971,0.0135,0.0001
1974,0.004,0.00316667
1977,0.0028,0.00706667
1980,0.00303333,0.0195333
1983,0.0029,0
1986,0.0051,0
1989,0.00506667,0
1992,0.00463333,0
1995,0.00416667,0
1998,0.00336667,0
2001,0.0069,0
2004,0.0338667,0
2007,0.0675333,0.00306667
2010,0.103833,0.00876667
2013,0.147267,0.0012
2016,0.189033,0.000766667
2019,0.2317,6.66667e-05
2022,0.264933,0
2025,0.296833,0.000133333
2028,0.3161,0
2031,0.327933,0
2034,0.310033,0
2037,0.286967,0.000333333
2040,0.2649,0
2043,0.239933,0.0008
2046,0.215267,0.00113333
2049,0.190367,0
2052,0.169633,0.004
2055,0.151067,0.00563333
2058,0.137733,0.0032
2061,0.129367,0.0007
2064,0.104233,0.0107333
2067,0.0821667,0.00583333
2070,0.0596333,0
2073,0.0392,0.00496667
2076,0.0227667,0
2079,0.0118667,0.0007
2082,0.00896667,0.00853333
2085,0.00913333,0.00103333
2088,0.00953333,0
2091,0.00913333,0
2094,0.00906667,0
2097,0.0105333,0
2100,0.0104,0
2103,0.0165667,0.0133333
2106,0.0243667,0.00103333
2109,0.031,0.000766667
2112,0.0410667,0.00646667
2115,0.0511,0.0253
2118,0.0624,0.0276
2121,0.0766667,0.0397667
2124,0.101567,0.0927
2127,0.126567,0.1192
2130,0.142067,0.1186
2133,0.1543,0.126167
2136,0.168333,0.109133
2139,0.176267,0.1211
2142,0.1841,0.214
2145,0.189833,0.137267
2148,0.191367,0.146967
2151,0.1952,0.1321
2154,0.201533,0.129367
2157,0.218767,0.124467
2160,0.225,0.109
2163,0.221067,0.0702333
2166,0.217733,0.0443333
2169,0.212567,0.0329
2172,0.2012,0.021
2175,0.181433,0.0159333
2178,0.1608,0.00906667
2181,0.143433,0.0205667
2184,0.1226,0.00156667
2187,0.1029,0.00276667
2190,0.0822667,0
2193,0.0611667,0.000133333
2196,0.0447,0
2199,0.0324,0.0187667
2202,0.0241333,0.00503333
2205,0.0173667,0.000266667
2208,0.0110333,0
2211,0.0078,0.0004
2214,0.00603333,0.00443333
2217,0.00566667,0
2220,0.00553333,0
2223,0.00523333,0
2226,0.00516667,0
2229,0.0056,0
2232,0.00536667,0
2235,0.00596667,0
2238,0.00656667,0
2241,0.0069,0
2244,0.00613333,0
2247,0.0071,0
2250,0.00756667,0
2253,0.00923333,0
2256,0.00916667,0
2259,0.0106333,0
2262,0.0108333,0
2265,0.0111667,0
2268,0.0233,0
2271,0.0407667,0.00853333
2274,0.0547667,0.00653333
2277,0.0604667,0.00163333
2280,0.0639333,0.0113667
2283,0.0668333,0.0016
2286,0.0708,0.00963333
2289,0.0694333,0.0045
2292,0.0715667,0.0211333
2295,0.0717,0.000833333
2298,0.0732,0.000833333
2301,0.0811333,0.001
2304,0.081,0.00196667
2307,0.0786,0.0083
2310,0.0741333,0.00566667
2313,0.0684,0
2316,0.0615,0
2319,0.0576,0
2322,0.0516,0
2325,0.046,0
2328,0.0394333,0.00106667
2331,0.039,0.00283333
2334,0.0336,0.00276667
2337,0.0303333,0.0102333
2340,0.0271667,0.0221667
2343,0.0223,0
2346,0.0200667,0
2349,0.0168333,0
2352,0.0154333,0
2355,0.011,0.00676667
2358,0.00953333,0
2361,0.0120333,0
2364,0.0121,0
2367,0.0124667,0
2370,0.0123,0
2373,0.0122667,0.00443333
2376,0.0127667,0
2379,0.0135333,0
2382,0.0133333,0
2385,0.0247333,0
2388,0.0482,0
2391,0.0526667,0.000233333
2394,0.0564667,3.33333e-05
2397,0.0579,3.33333e-05
2400,0.0596333,0.000566667
2403,0.0618667,0.00616667
2406,0.0623,0.00223333
2409,0.0662667,0.00743333
2412,0.0683333,0.000133333
2415,0.0585,0
2418,0.0481667,0.0108667
2421,0.0344333,0.0179667
2424,0.0196,0.0169333
2427,0.00876667,0.0096
2430,0.00143333,0.00446667
2433,0.0078,0.00706667
2436,0.0341667,0.0253667
2439,0.0422333,0.000433333
2442,0.0476,0
2445,0.0508,0
2448,0.0537333,0.000666667
2451,0.0548667,0.00116667
2454,0.0579667,0
2457,0.0598333,0
2460,0.0612,0
2463,0.0593667,0
2466,0.0470333,0
2469,0.0355333,0
2472,0.0239667,0
2475,0.0142,0.000233333
2478,0.0146333,0.0064
2481,0.0143333,0.00493333
2484,0.0167,0
2487,0.0188333,0
2490,0.0194667,0
2493,0.0208667,0
2496,0.0214667,0
2499,0.0222667,0
2502,0.0232667,0
2505,0.0241333,0
2508,0.0261667,0
2511,0.0388,0
2514,0.0554333,0
2517,0.0571333,0.000266667
2520,0.0572333,0.0007
2523,0.0613,0.00146667
2526,0.0628667,0.00756667
2529,0.0666333,0.0101333
2532,0.0687333,0.00203333
2535,0.0709667,0.0004
2538,0.0712,0.00863333
2541,0.0721333,0.0121
2544,0.0756667,0.0212333
2547,0.0781,0.021
2550,0.0728667,0.0027
2553,0.0634,0.000166667
2556,0.0536,0.000133333
2559,0.0391,0.0057
2562,0.0266,0.0109333
2565,0.0148,0.0190667
2568,0.00683333,0
2571,0.00553333,0
2574,0.0062,0
2577,0.00623333,0
2580,0.00666667,0
2583,0.0065,0
2586,0.0071,0
2589,0.00656667,0
2592,0.00603333,0
2595,0.00663333,0
2598,0.00673333,0
2601,0.00686667,0
2604,0.00666667,0
2607,0.00693333,0
2610,0.007,0
2613,0.0077,0
2616,0.00756667,0
2619,0.0069,0
2622,0.00666667,0
2625,0.0106667,0
2628,0.0286667,0.0009
2631,0.0393,0.00186667
2634,0.0442667,0.00383333
2637,0.0493,0.0007
2640,0.0687333,0.00523333
2643,0.0928333,0.0027
2646,0.1147,0.000666667
2649,0.1352,0.00313333
2652,0.143433,0.00366667
2655,0.149367,0.0176667
2658,0.156,0.00596667
2661,0.161433,0.003
2664,0.158167,0.0033
2667,0.150667,0.000933333
2670,0.1444,0.00506667
2673,0.138367,0.0032
2676,0.137667,0.0106333
2679,0.132433,0.0139667
2682,0.124933,0.0272
2685,0.124933,0.0608
2688,0.1242,0.0633667
2691,0.1095,0.0538667
2694,0.0959667,0.0514667
2697,0.0786333,0.0367
2700,0.0634,0.0124
2703,0.0515333,0.0203667
2706,0.0429667,0.00933333
2709,0.0399333,0
2712,0.039,0
2715,0.0394667,0
2718,0.0393667,0
2721,0.0397333,0
2724,0.0403333,0
2727,0.0415333,0
2730,0.0516,0.00426667
2733,0.0637,0.0049
2736,0.0748333,0.00606667
2739,0.0796333,0.00323333
2742,0.082,0.00333333
2745,0.0844667,0.00826667
2748,0.0902333,0.000933333
2751,0.0929,0
2754,0.095,0.0221
2757,0.0968,0.0157333
2760,0.0985,0.0144333
2763,0.100967,0
2766,0.101233,0.0100667
2769,0.102367,0.0022
2772,0.104067,0.00233333
2775,0.1076,0
2778,0.1096,0
2781,0.1121,0
2784,0.111667,0
2787,0.1109,0
2790,0.112167,0
2793,0.113233,0
2796,0.112267,0
2799,0.1137,0
2802,0.113167,0
2805,0.1144,0
2808,0.115267,0
2811,0.113833,0
2814,0.1143,0
2817,0.114667,0
2820,0.115567,0
2823,0.117667,0
2826,0.118767,0
2829,0.1181,0
2832,0.120533,0
2835,0.120367,0
2838,0.1204,0
2841,0.1193,0
2844,0.1187,0
2847,0.118733,0
2850,0.119067,0
2853,0.118867,0
2856,0.1188,0
2859,0.118967,0
2862,0.1173,0
2865,0.118167,0
2868,0.118567,0
2871,0.119967,0
2874,0.121133,0
2877,0.120467,0
2880,0.1212,0
2883,0.124067,0
2886,0.124233,0
2889,0.125567,0
2892,0.1286,0
2895,0.1266,0
2898,0.125967,0
2901,0.124967,0
2904,0.123333,0.0128333
2907,0.1244,0
2910,0.126033,0
2913,0.124067,0
2916,0.1235,0
2919,0.122033,0
2922,0.122133,0
