framenum,queue density,dynamic density
3,0.0650911,0.0584337
6,0.0735737,0.0620879
9,0.0863691,0.0252559
12,0.0903131,0.0328729
15,0.0941818,0.0517876
18,0.0971888,0.0447125
21,0.0998833,0.0436023
24,0.101667,0.0376562
27,0.106827,0.0407685
30,0.110515,0.0682899
33,0.112069,0.0663367
36,0.113431,0.0494468
39,0.11517,0.045992
42,0.11631,0.0561418
45,0.11794,0.0706834
48,0.117899,0.037404
51,0.118553,0.0607406
54,0.120047,0.0398803
57,0.121764,0.0589681
60,0.122388,0.0435421
63,0.122279,0.0778978
66,0.123641,0.0456985
69,0.125358,0.0423641
72,0.126445,0.0375282
75,0.128726,0.0330235
78,0.128884,0.0400873
81,0.13439,0.0420029
84,0.13816,0.0487619
87,0.150527,0.054437
90,0.163413,0.0439711
93,0.169603,0.0398201
96,0.16666,0.0719329
99,0.170367,0.0366288
102,0.171707,0.0418297
105,0.172057,0.0395078
108,0.175226,0.0433878
111,0.184171,0.0602702
114,0.193158,0.0440614
117,0.201291,0.0444942
120,0.203726,0.0545424
123,0.20563,0.0655276
126,0.206552,0.0625207
129,0.209149,0.0722565
132,0.212498,0.0774161
135,0.214105,0.0800542
138,0.215825,0.0853041
141,0.21686,0.0726855
144,0.216965,0.106808
147,0.215584,0.1035
150,0.216205,0.0689335
153,0.215362,0.0723958
156,0.21281,0.0718425
159,0.209472,0.0574966
162,0.207564,0.0642631
165,0.204787,0.0537069
168,0.203112,0.0387965
171,0.200045,0.0674545
174,0.197351,0.084145
177,0.195461,0.0595928
180,0.194317,0.0778752
183,0.193587,0.0428571
186,0.19233,0.0343783
189,0.191807,0.0227909
192,0.190896,0.064647
195,0.189609,0.020834
198,0.190279,0.0223619
201,0.190377,0.0276795
204,0.190806,0.0237543
207,0.190366,0.0243226
210,0.190554,0.0239011
213,0.190881,0.0229979
216,0.190467,0.0284247
219,0.190422,0.0225237
222,0.190633,0.0224259
225,0.190731,0.0198254
228,0.191367,0.0221323
231,0.191269,0.0214549
234,0.192372,0.0247177
237,0.191623,0.0233893
240,0.188522,0.0196974
243,0.189237,0.0234533
246,0.189636,0.0239613
249,0.189448,0.0207399
252,0.188985,0.0229
255,0.188996,0.023585
258,0.189463,0.0245898
261,0.189673,0.0265731
264,0.18921,0.0275026
267,0.189545,0.0288612
270,0.189274,0.027894
273,0.18903,0.0294031
276,0.18941,0.0288198
279,0.189432,0.0355901
282,0.191427,0.0328165
285,0.194754,0.036117
288,0.194622,0.0365084
291,0.190983,0.0316047
294,0.188458,0.0331853
297,0.186347,0.0262231
300,0.185797,0.0227119
303,0.185786,0.020834
306,0.186275,0.0187679
309,0.188217,0.0214624
312,0.189997,0.0220909
315,0.191416,0.0224522
318,0.191397,0.0219818
321,0.19046,0.0209506
324,0.1904,0.0199533
327,0.190317,0.0195318
330,0.190618,0.0195394
333,0.190388,0.0188281
336,0.190321,0.0185157
339,0.190738,0.0186625
342,0.192274,0.0180829
345,0.192804,0.0323009
348,0.194991,0.0382546
351,0.193599,0.0433727
