framenum,dense dynamic density,sparse dynamic density
3,0.0247287,0.0255987
6,0.0805885,0.0515649
9,0.0386814,0.0488507
12,0.0489004,0.077268
15,0.0548548,0.088673
18,0.0622208,0.0958999
21,0.0427201,0.0718331
24,0.0277361,0.0636101
27,0.0376501,0.0635616
30,0.0577944,0.0805099
33,0.0803815,0.070971
36,0.0961936,0.0760266
39,0.101975,0.0769624
42,0.0939127,0.072145
45,0.0840249,0.062764
48,0.0779801,0.0517901
51,0.0654765,0.0495254
54,0.0357155,0.0498711
57,0.0318236,0.0490666
60,0.0338147,0.0379943
63,0.0251616,0.047708
66,0.0253573,0.0305897
69,0.0204642,0.0200536
72,0.0105351,0.0159928
75,0.0104222,0.0171127
78,0.017359,0.0216917
81,0.0233436,0.0185399
84,0.0335136,0.0454177
87,0.0495177,0.0631763
90,0.0484186,0.0718083
93,0.0488627,0.056105
96,0.0597215,0.0618429
99,0.0657513,0.0870874
102,0.0348385,0.0741912
105,0.0387793,0.0626184
108,0.0478691,0.0717958
111,0.0605684,0.0627973
114,0.0734597,0.0719047
117,0.0951548,0.0791546
120,0.103292,0.0976321
123,0.104075,0.0979606
126,0.103921,0.0958448
129,0.0818118,0.102422
132,0.0938675,0.0939815
135,0.0951472,0.090446
138,0.0878077,0.0753114
141,0.0771709,0.0748633
144,0.0738211,0.0610288
147,0.0731134,0.0538252
150,0.0793728,0.0574906
153,0.0662142,0.0474827
156,0.0555098,0.0547602
159,0.0554157,0.0605589
162,0.041828,0.0471326
165,0.0472706,0.0523879
168,0.0320796,0.0354466
171,0.019734,0.0292188
174,0.00466722,0.0290974
177,0.0106518,0.02539
180,0.00212659,0.0211144
183,0.000549527,0.0233499
186,0.00457312,0.0231072
189,0,0.015366
192,0,0.0137704
195,0.000583402,0.0107217
198,3.3875e-05,0.00924053
201,0.00517158,0.0101921
204,0.000101625,0.00940016
207,0.000248416,0.00880041
210,0.00109905,0.00847492
213,0,0.00767517
216,0.00666584,0.00825987
219,0,0.0062642
222,0,0.00723588
225,5.26944e-05,0.00795895
228,0,0.00608794
231,0.000749013,0.00957667
234,0,0.00852139
237,0.000282291,0.00919725
240,0.00151308,0.0124129
243,0.00268365,0.00744837
246,0.00192711,0.00547552
249,0.00225833,0.00957524
252,0.000131736,0.00703286
255,0.00109905,0.00701277
258,0.00727935,0.0105192
261,0.00337997,0.00692646
264,0,0.00554896
267,0.000225833,0.00822133
270,0,0.00608794
273,6.77499e-05,0.0069415
276,0.00526191,0.00645487
279,0.00576251,0.0102415
282,0.00968447,0.0198307
285,0.0131209,0.0203906
288,0.0175811,0.0369895
291,0.008337,0.0315104
294,0.00697071,0.0365106
297,0.00458817,0.023231
300,0.00642871,0.0186464
303,0.00196475,0.0074994
306,0,0.00731789
309,0,0.00732066
312,0,0.0077959
315,0,0.00669112
318,0,0.00593748
321,0,0.0100498
324,0,0.0118729
327,0,0.00874935
330,0,0.00672642
333,0,0.00731665
336,0,0.00911352
339,0.000259708,0.00767726
342,0.000293583,0.0101319
345,0.00775736,0.0211783
348,0.0145399,0.0200507
351,0.0219773,0.0264809
354,0.0258504,0.0343126
357,0.0263735,0.0304676
360,0.0231893,0.042929
363,0.0213262,0.0329494
366,0.0208707,0.0358135
369,0.0219886,0.0265846
372,0.021345,0.0251238
375,0.0214617,0.0207549
378,0.0196249,0.0262291
381,0.0186124,0.0192384
384,0.0157293,0.0169191
